datetime,packet_count_sum,total_bytes_sum
2025-09-02 16:38:40,2359227,96723840
2025-09-02 16:38:50,403389,18050016
2025-09-02 16:39:00,169963,7649416
2025-09-02 16:39:10,165360,7773116
2025-09-02 16:39:20,121342,5658828
2025-09-02 16:39:30,97729,4566908
2025-09-02 16:39:40,84847,3937940
2025-09-02 16:39:50,95307,4451792
2025-09-02 16:40:00,79383,3699808
2025-09-02 16:40:10,72717,3326012
2025-09-02 16:40:20,71860,3281992
2025-09-02 16:40:30,73042,3387464
2025-09-02 16:40:40,69003,3218796
2025-09-02 16:40:50,69132,3117700
2025-09-02 16:41:00,59589,2783328
2025-09-02 16:41:10,53075,2437200
2025-09-02 16:41:20,53317,2502956
2025-09-02 16:41:30,58344,2762296
2025-09-02 16:41:40,77495,3580076
2025-09-02 16:41:50,66801,2914760
2025-09-02 16:42:00,62290,2854116
2025-09-02 16:42:10,57594,2639464
2025-09-02 16:42:20,45204,2038936
2025-09-02 16:42:30,45143,2048532
2025-09-02 16:42:40,60870,2911924
2025-09-02 16:42:50,44255,2046052
2025-09-02 16:43:00,41685,1908960
2025-09-02 16:43:10,45969,2079040
2025-09-02 16:43:20,47407,2208104
2025-09-02 16:43:30,44670,2103928
2025-09-02 16:43:40,34679,1584640
2025-09-02 16:43:50,32029,1474256
2025-09-02 16:44:00,39090,1842212
2025-09-02 16:44:10,34020,1574500
2025-09-02 16:44:20,24907,1125972
2025-09-02 16:44:30,22599,1021968
2025-09-02 16:44:40,13656,586296
2025-09-02 16:44:50,1453550,57567196
2025-09-02 16:45:00,1092796,47274496
2025-09-02 16:45:10,257277,11464008
2025-09-02 16:45:20,171069,7594004
2025-09-02 16:45:30,148184,6819592
2025-09-02 16:45:40,125334,5894992
2025-09-02 16:45:50,115589,5512916
2025-09-02 16:46:00,106449,5024084
2025-09-02 16:46:10,84860,3910968
2025-09-02 16:46:20,91035,4242516
2025-09-02 16:46:30,83307,3835748
2025-09-02 16:46:40,69952,3257872
2025-09-02 16:46:50,80606,3748636
2025-09-02 16:47:00,66256,3058836
2025-09-02 16:47:10,57224,2621184
2025-09-02 16:47:20,67166,3023464
2025-09-02 16:47:30,68122,3189904
2025-09-02 16:47:40,56886,2649492
2025-09-02 16:47:50,56522,2631092
2025-09-02 16:48:00,66364,3025436
2025-09-02 16:48:10,64725,3050952
2025-09-02 16:48:20,54516,2535860
2025-09-02 16:48:30,52269,2380404
