datetime,packet_count_sum,total_bytes_sum
2025-09-02 16:38:00,2762616,114773856
2025-09-02 16:39:00,734548,34038000
2025-09-02 16:40:00,435137,20031772
2025-09-02 16:41:00,368621,16980616
2025-09-02 16:42:00,315356,14539024
2025-09-02 16:43:00,246439,11358928
2025-09-02 16:44:00,1587822,63718144
2025-09-02 16:45:00,1910249,84560008
2025-09-02 16:46:00,516209,24019824
2025-09-02 16:47:00,372176,17173972
2025-09-02 16:48:00,321938,14837740
2025-09-02 16:49:00,259218,11870756
2025-09-02 16:50:00,169182,7701224
2025-09-02 16:51:00,3273057,138498292
2025-09-02 16:52:00,519444,23942024
2025-09-02 16:53:00,378022,17403540
2025-09-02 16:54:00,333568,15247260
2025-09-02 16:55:00,286484,13337380
2025-09-02 16:56:00,201613,9246956
2025-09-02 16:57:00,3165885,134385892
2025-09-02 16:58:00,581414,27403900
2025-09-02 16:59:00,386956,18033984
2025-09-02 17:00:00,374058,17311696
2025-09-02 17:01:00,266093,12339328
2025-09-02 17:02:00,204297,9320032
2025-09-02 17:03:00,3077596,129572512
2025-09-02 17:04:00,555247,25863560
2025-09-02 17:05:00,575253,26157304
2025-09-02 17:06:00,317468,14712956
2025-09-02 17:07:00,277934,12820992
2025-09-02 17:08:00,194672,8883196
2025-09-02 17:09:00,2975050,119490400
2025-09-02 17:10:00,637216,29483328
2025-09-02 17:11:00,555321,26843700
2025-09-02 17:12:00,325289,15057512
2025-09-02 17:13:00,268420,12108772
2025-09-02 17:14:00,229521,10694208
2025-09-02 17:15:00,3137597,126954644
2025-09-02 17:16:00,579648,26778628
2025-09-02 17:17:00,436619,20481268
2025-09-02 17:18:00,317940,14685196
2025-09-02 17:19:00,290850,13224216
2025-09-02 17:20:00,232211,10769156
2025-09-02 17:21:00,3032143,121677976
2025-09-02 17:22:00,606619,27913984
2025-09-02 17:23:00,531678,25317112
2025-09-02 17:24:00,334580,15811832
2025-09-02 17:25:00,257551,11994484
2025-09-02 17:26:00,215783,9958732
2025-09-02 17:27:00,3017923,121081492
2025-09-02 17:28:00,677188,30888440
2025-09-02 17:29:00,403457,18620280
2025-09-02 17:30:00,365966,17293652
2025-09-02 17:31:00,294294,13645068
2025-09-02 17:32:00,227729,10476592
2025-09-02 17:33:00,2961195,119838388
2025-09-02 17:34:00,739064,34176632
2025-09-02 17:35:00,421631,19533156
2025-09-02 17:36:00,352286,16320012
2025-09-02 17:37:00,285269,13319332
2025-09-02 17:38:00,230901,10712548
2025-09-02 17:39:00,2831580,113056068
2025-09-02 17:40:00,790469,35846596
2025-09-02 17:41:00,458900,21290140
2025-09-02 17:42:00,352445,16551592
2025-09-02 17:43:00,292822,13520416
2025-09-02 17:44:00,257070,11668028
2025-09-02 17:45:00,2595965,102515236
2025-09-02 17:46:00,1040515,47080912
2025-09-02 17:47:00,423570,19517292
2025-09-02 17:48:00,382258,17824696
2025-09-02 17:49:00,299549,13707972
2025-09-02 17:50:00,248611,11570592
2025-09-02 17:51:00,2253512,88475640
2025-09-02 17:52:00,1369307,60981280
2025-09-02 17:53:00,460944,21432700
2025-09-02 17:54:00,353132,16560868
2025-09-02 17:55:00,296737,13764220
2025-09-02 17:56:00,246609,11555700
2025-09-02 17:57:00,136494,6202064
2025-09-02 17:58:00,3426571,141869456
2025-09-02 17:59:00,466542,21539208
2025-09-02 18:00:00,386294,18299128
2025-09-02 18:01:00,296654,13828372
2025-09-02 18:02:00,266124,12325532
2025-09-02 18:03:00,155513,7066272
2025-09-02 18:04:00,3218827,135865320
2025-09-02 18:05:00,549340,24991672
2025-09-02 18:06:00,405478,19162360
2025-09-02 18:07:00,339837,15797888
2025-09-02 18:08:00,283577,13106264
2025-09-02 18:09:00,192916,8909352
2025-09-02 18:10:00,3263979,138779900
2025-09-02 18:11:00,494343,22101612
2025-09-02 18:12:00,308638,13840808
2025-09-02 18:13:00,395020,18073224
2025-09-02 18:14:00,251987,11314536
2025-09-02 18:15:00,190339,8432800
2025-09-02 18:16:00,108021,4696036
2025-09-02 18:17:00,3360817,142899844
2025-09-02 18:18:00,463054,20859876
2025-09-02 18:19:00,305598,13525444
2025-09-02 18:20:00,388828,17678860
2025-09-02 18:21:00,225510,10072424
2025-09-02 18:22:00,172410,7571660
2025-09-02 18:23:00,1670026,67974424
2025-09-02 18:24:00,1921869,85206428
2025-09-02 18:25:00,433339,19455064
2025-09-02 18:26:00,324819,14523796
2025-09-02 18:27:00,272231,12209344
2025-09-02 18:28:00,225946,10043352
2025-09-02 18:29:00,166987,7276340
2025-09-02 18:30:00,2427445,101653744
2025-09-02 18:31:00,1226139,54863632
2025-09-02 18:32:00,422793,19163288
2025-09-02 18:33:00,318480,14510412
2025-09-02 18:34:00,246352,11098844
2025-09-02 18:35:00,212421,9555028
2025-09-02 18:36:00,164442,7274604
2025-09-02 18:37:00,2888981,117876004
2025-09-02 18:38:00,901294,40586820
2025-09-02 18:39:00,378865,17156616
2025-09-02 18:40:00,286146,13011860
2025-09-02 18:41:00,238232,10812224
2025-09-02 18:42:00,197719,8892384
2025-09-02 18:43:00,134316,5933308
2025-09-02 18:44:00,24941,1075368
